Date,Product,Category,Region,Quantity,Unit_Price,Discount_%,Revenue,Cost,Profit,Month,Month_Str
2024-03-12,Winter Hoodie,Clothing,North,5,56.07,0,280.35,131.76,148.59,2024-03,Mar 2024
2024-05-31,Winter Hoodie,Clothing,East,3,49.73,10,134.27,82.78,51.49,2024-05,May 2024
2024-11-09,USB-C Hub,Electronics,North,5,34.52,0,172.6,98.79,73.81,2024-11,Nov 2024
2024-09-27,USB-C Hub,Electronics,Central,3,34.18,15,87.16,47.36,39.8,2024-09,Sep 2024
2024-09-30,Gym Gloves,Sports,East,4,19.59,0,78.36,41.3,37.06,2024-09,Sep 2024
2024-09-20,Smart Watch,Electronics,West,3,161.2,0,483.6,281.7,201.9,2024-09,Sep 2024
2024-07-09,Denim Jacket,Clothing,East,2,63.3,10,113.94,71.66,42.28,2024-07,Jul 2024
2024-10-22,Knife Set,Home & Kitchen,North,5,44.0,0,220.0,135.46,84.54,2024-10,Oct 2024
2024-02-10,Casual T-Shirt,Clothing,East,5,21.21,0,106.05,68.65,37.4,2024-02,Feb 2024
2024-03-03,Self Help Book,Books,South,3,16.92,0,50.76,30.86,19.9,2024-03,Mar 2024
2024-02-10,Coffee Maker,Home & Kitchen,South,4,84.74,0,338.96,174.96,164.0,2024-02,Feb 2024
2024-12-25,Bluetooth Speaker,Electronics,West,3,65.8,0,197.4,127.19,70.21,2024-12,Dec 2024
2024-09-11,Finance 101,Books,East,3,24.11,0,72.33,32.92,39.41,2024-09,Sep 2024
2024-04-05,Wireless Headphones,Electronics,South,4,96.25,0,385.0,204.85,180.15,2024-04,Apr 2024
2024-11-22,Self Help Book,Books,Central,3,18.7,5,53.29,30.63,22.66,2024-11,Nov 2024
2024-01-28,Bluetooth Speaker,Electronics,Central,4,60.93,5,231.53,129.16,102.37,2024-01,Jan 2024
2024-07-08,Self Help Book,Books,South,1,17.18,0,17.18,7.73,9.45,2024-07,Jul 2024
2024-05-16,Yoga Pants,Clothing,North,5,41.54,0,207.7,103.61,104.09,2024-05,May 2024
2024-11-13,Wireless Headphones,Electronics,South,1,84.62,0,84.62,49.86,34.76,2024-11,Nov 2024
2024-03-21,Cutting Board,Home & Kitchen,South,3,25.55,0,76.65,35.28,41.37,2024-03,Mar 2024
2024-05-05,Wireless Headphones,Electronics,East,2,89.55,0,179.1,100.4,78.7,2024-05,May 2024
2024-09-11,Blender,Home & Kitchen,South,5,56.46,0,282.3,157.28,125.02,2024-09,Sep 2024
2024-07-05,Wireless Headphones,Electronics,North,5,95.38,0,476.9,235.61,241.29,2024-07,Jul 2024
2024-07-17,Blender,Home & Kitchen,South,4,59.85,0,239.4,132.52,106.88,2024-07,Jul 2024
2024-05-30,Business Strategy,Books,South,2,20.93,0,41.86,25.68,16.18,2024-05,May 2024
2024-10-30,Knife Set,Home & Kitchen,South,4,45.52,5,172.98,84.37,88.61,2024-10,Oct 2024
2024-05-10,Laptop Stand,Electronics,West,4,48.48,0,193.92,112.16,81.76,2024-05,May 2024
2024-12-05,USB-C Hub,Electronics,Central,3,34.11,10,92.1,59.38,32.72,2024-12,Dec 2024
2024-06-11,Smart Watch,Electronics,East,5,140.78,0,703.9,350.15,353.75,2024-06,Jun 2024
2024-05-14,Casual T-Shirt,Clothing,South,3,20.63,0,61.89,29.01,32.88,2024-05,May 2024
2024-09-20,Winter Hoodie,Clothing,East,3,54.28,0,162.84,94.29,68.55,2024-09,Sep 2024
2024-11-12,Air Fryer,Home & Kitchen,North,3,100.43,0,301.29,138.21,163.08,2024-11,Nov 2024
2024-01-06,Gym Gloves,Sports,South,3,18.89,10,51.0,26.32,24.68,2024-01,Jan 2024
2024-04-25,Blender,Home & Kitchen,Central,5,53.74,5,255.26,131.05,124.21,2024-04,Apr 2024
2024-02-23,Wireless Headphones,Electronics,South,2,96.65,0,193.3,95.06,98.24,2024-02,Feb 2024
2024-09-29,Coffee Maker,Home & Kitchen,South,1,73.26,0,73.26,41.07,32.19,2024-09,Sep 2024
2024-01-13,Smart Watch,Electronics,West,4,149.34,0,597.36,364.19,233.17,2024-01,Jan 2024
2024-05-22,Knife Set,Home & Kitchen,Central,4,45.71,0,182.84,106.85,75.99,2024-05,May 2024
2024-05-04,Denim Jacket,Clothing,East,2,64.32,0,128.64,58.89,69.75,2024-05,May 2024
2024-09-20,Yoga Pants,Clothing,North,5,38.17,10,171.76,93.0,78.76,2024-09,Sep 2024
2024-12-20,Self Help Book,Books,South,4,16.68,10,60.05,35.6,24.45,2024-12,Dec 2024
2024-12-11,Laptop Stand,Electronics,South,5,42.16,0,210.8,112.92,97.88,2024-12,Dec 2024
2024-01-01,Air Fryer,Home & Kitchen,North,2,93.85,0,187.7,91.33,96.37,2024-01,Jan 2024
2024-07-10,Yoga Mat,Sports,Central,5,35.78,0,178.9,89.37,89.53,2024-07,Jul 2024
